Nome da Lista;Nome do Card;Descrição do card;Comentários do Card
Currículo encontrado ; Faculdade Anhanguera de Rondonópolis (FAR) ; Telefone : (66) 3411-3900, (66) 3423-2207 | Site : http://anhanguera.com/, http://www.unic.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4294852H3', 'Informações de coordenação obtidas: | Coordenador(a): Jose Mauro de Ribamar e Silva | Não forneceram email nem telefone | 
Currículo encontrado ; Universidade Federal de Mato Grosso (UFMT) ; Telefone : (65) 3615-8267 | Site : http://www.ufmt.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4777361H9', 'Informações de coordenação obtidas: | Coordenador(a): Carlos Cesar Breda | Email: breda@ufmt.br | Telefone: (66) 3533-3172
Currículo encontrado ; Centro Universitário de Várzea Grande (UNIVAG) ; Telefone : (65) 3688-6000 | Site : http://www.univag.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4767838Y6', 'Informações de coordenação obtidas: | Coordenador(a): Dr. Rogério Donizete de Castro | Email: coordenacao.agronomia@univag.edu.br | Telefone: (65) 3688-6107
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Pará (IFPA) ; Telefone : (91) 3201-1701, (91) 3201-1728, (91) 3751-6265 | Site : http://abaetetuba.ifpa.edu.br/, http://belem.ifpa.edu.br/, http://www.ifpa.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4298185T5', 'Coordenador(a): Gilberta Carneiro Souto | Email: gilberta.souto@ifpa.edu.br | Telefone: (91) 3412-1635
Currículo encontrado ; Universidade Federal do Pará (UFPA) ; Telefone : (91) 3201-7000 | Site : https://www.portal.ufpa.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4757191T9', 'Coordenador(a):Thiago Cavalcante  Gomes Ribeiro de Andrade\t\t\tEmail: sandrasilva@ufpa.br | Telefone: (93) 91242959 / (93)81257870
Currículo encontrado ; Universidade Federal do Sul e Sudeste do Pará (UNIFESSPA) ; Telefone : (94) 2101-7100 | Site : https://www.unifesspa.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4387195H8', 'Coordenador(a): Josiel de Oliveira Batista | Email: josieloliveira@unifesspa.edu.br
Currículo encontrado ; Universidade Federal Rural da Amazônia (UFRA) ; Telefone : (91) 99203-9281 | Site : https://novo.ufra.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4273857E1', 'Coordenador(a): Pedro Daniel de Oliveira\t\t | Email: daniel.oliveira@ufra.edu.br | Telefone: (91) 999022396  / ( 91) 983090111
Currículo encontrado ; Universidade Federal da Paraíba (UFPB) ; Telefone : (83) 3216-7200 | Site : http://www.ufpb.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4702110U1', 'Coordenação do Curso : BRUNO DE OLIVEIRA DIAS  | Telefone/Ramal: 3362-1729  | E-mail: coordagro@cca.ufpb.br | Vice-Coordenação do Curso : DANIEL DUARTE PEREIRA  | Telefone/Ramal: 3362  | E-mail: coordagro@cca.ufpb.br
Currículo encontrado ; Universidade Federal de Campina Grande (UFCG) ; Telefone : (83) 2101-1000 | Site : http://www.ufcg.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4764901P9', 'Coordenador(a): Ancélio Ricardo de Oliveira Gondim | Email: ccta.agronomia.d@ufcg.edu.br | Telefone: (83) 3431-4005
Currículo encontrado ; Fundação Universidade Federal do Vale do São Francisco (UNIVASF) ; Telefone : (87) 2101-6705 | Site : http://www.univasf.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4269240Y8', 'Coordenador(a): Bruno Coutinho Moreira | Email: bruno.moreira@univasf.edu.br | Telefone: (87) 201-4863
Currículo encontrado ; Universidade Federal Rural de Pernambuco (UFRPE) ; Telefone : (81) 3320-6000 | Site : http://www.ufrpe.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4791658P9 | ', 'Coordenador(a): Marcelo Metri Correa | Telefone: 87 37610882  | Email: coordenacao.ag@uag.ufrpe.br
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco (IFPE) ; Telefone : (81) 2125-1600 | Site : http://www.ifpe.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4772133Z1', 'Coordenadora: Denise de Santana Silva  | E-mail: agronomia@vitoria.ifpe.edu.br  | Telefone: (81) 3114-1906
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano (IF Sertão) ; Telefone : (87) 2101-4300 | Site : http://www.ifsertao-pe.edu.br/index.php ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4705125Z2', 'Coordenador(a): Aline Rocha  | E-mail: aline.rocha@ifsertao-pe.edu.br.  | Telefone: (87) 2101-8072.
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI) ; Telefone : (86) 3215-5200 | Site : http://libra.ifpi.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4732804H9', 'Coordenador(a): Cristovam Alves de Lima Junior | Email: proreitoria.ensino@ifpi.edu.br | Telefone: (86) 3131-1436
Currículo encontrado ; Universidade Federal Rural do Rio de Janeiro (UFRRJ) ; Telefone : (21) 2681-4610 | Site : http://www.ufrrj.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4785983P6', 'Informações de coordenação obtidas: | Coordenador(a): Professor Dr. Adelson Paulo de Araújo | Email: agronomia@ufrrj.br  /  aparaujo@ufrrj.br | Telefone: (21) 3787-3755 ramal: 208
Currículo encontrado ; Universidade Federal do Rio Grande do Norte (UFRN) ; Telefone : (84) 3342-2317 | Site : http://www.ufrn.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4230652P2', 'Coordenador(a): JOSE HAMILTON DA COSTA FILHO | Fone: +55 (84) 3342-4838/9474-6745 | E-mail: agronomiaufrn@gmail.com
Currículo encontrado ; Universidade Federal Rural do Semi-Árido (UFERSA) ; Telefone : (84) 3317-8200 | Site : https://ufersa.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4766737P5', 'Coordenadora(a): Elizangela Cabral dos Santos | Email: elizangelacabral@ufersa.edu.br | Ramal: 1757
Currículo encontrado ; Faculdade de Educação e Meio Ambiente (FAEMA) ; Telefone : (69) 3536-6600 | Site : http://www.faema.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4769966H9', 'Informações de coordenação obtidas: | Coordenador(a): Adriana Ema Nogueira | Email: agronomia@faema.edu.br
Currículo encontrado ; Fundação Universidade Federal de Rondônia (UNIR) ; Telefone : (69) 2182-2000 | Site : http://www.unir.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4796648D6', 'Informações de coordenação obtidas: | Coordenador(a): Dr. Idelfonso Leandro Bezerra  | Email: idenfonsobezerra@unir.br | 
Currículo encontrado ; Faculdades Integradas Aparício Carvalho (FIMCA) ; Telefone : (69) 3217-8900 | Site : http://www.fimca.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4138980H9', 'Informações de coordenação obtidas: | Coordenador(a): Bárbara dos Santos Esteves | Email: coord.agronomia@fimca.com.br
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia de Rondônia (IFRO) ; Telefone : (69) 2101-0700 | Site : http://portal.ifro.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4155840T8', 'Informações de coordenação obtidas: | Coordenador(a): Luciano dos Reis Venturoso | Email: ceagro.ariquemes@ifro.edu.br
Currículo encontrado ; Faculdade Roraimense de Ensino Superior (FARES) ; Telefone : (95) 2121-5700 | Site : http://www.fares.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4759414E9', 'Coordenador(a): Rejane Lanius Boyle | Email: r.1.boyle@click21.com.br
Currículo encontrado ; Universidade Estadual de Roraima (UERR) ; Telefone : (95) 2121-0950 | Site : http://uerr.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4568576U0', 'Coordenador(a): Francisco Péricles Galúcio Aires\t | Email: coordenacaoagronomia@uerr.edu.br
Currículo encontrado ; Universidade de Caxias do Sul (UCS) ; Telefone : (54) 3218-2100, (54) 3218-2173 | Site : http://www.ucs.br/, https://www.ucs.br/, https://www.ucs.br/site/biblioteca/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4769871Y8', ' Coordenador: Murilo César dos Santos | Email: informa@ucs.br
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul (IFRS) Vacaria ; (54) 3231-7400 | https://ifrs.edu.br/vacaria/ensino/professores/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4710249Z7', 'Informações de coordenação obtidas: | Coordenador(a): Tatiane de Fátima Brandão Oliveira | Email: tatiane.oliveira@vacaria.ifrs.edu.br 
Currículo encontrado ; Faculdade Ideau (IDEAU) ; Telefone : (54) 3341-6600 | Site : http://www.ideau.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4237309U9', 'COORDENAÇÃO | Dirigentes: | Presidente: Flávio Carlos Barro | Diretor: Marcos Paulo Dellani  | Coordenação: Ronaldo Bernardon Meireles |  
Currículo encontrado ; Universidade Federal da Fronteira Sul (UFFS) ; Telefone : (42) 3635-0000, (49) 2049-3100, (54) 2103-4129 | Site : http://www.uffs.edu.br/, https://www.uffs.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4716920J0', 'Informações de coordenação obtidas: | Coordenador(a):  Juliane Ludwig | Email: agronomia.cl@uffs.edu.br | Telefone: (55) 3359-3973 / (55) 3359-3981
Currículo encontrado ; Faculdade de Getúlio Vargas (FACULDADE IDEAU) ; Telefone : (54) 3341-6600 | Site : http://www.ideau.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4237309U9', 'Informações de coordenação obtidas:  | Coordenador(a): Ronaldo Bernardon Meireles | Email: : agronomia@ideau.com.br
Currículo encontrado ; Faculdade do Pampa ; Telefone : (53) 3240-3600 | Site : http://novoportal.unipampa.edu.br/novoportal/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4275687E6', 'Informações de coordenação obtidas:  | Coordenador(a): Bruno Neutzling Fraga | Email: itagr@listas.unipampa.edu.br
Currículo encontrado ; Universidade da Região da Campanha (URCAMP) ; Telefone : (53) 3242-8244 | Site : http://www.urcamp.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4700991E8', 'Informações de coordenação obtidas: | Coordenador(a): Eliana Antonia Valente Silveira | Email: urcamp@urcamp.edu.br | Ramal: 272
Currículo encontrado ; Centro de Ensino Superior Riograndese (CESURG) ; Telefone : (54) 98423-9928 | Site : http://cesurg.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4238542P7', 'Informações de coordenação obtidas: | Coordenador(a): Rafael Antonio Pasini | Email: agronomia.sarandi@cesurg.com.br | Telefone: (54) 98423-9928 || 99700-9394 (Whats)
Currículo encontrado ; Universidade de Cruz Alta (UNICRUZ) ; Telefone : (55) 3321-1500 | Site : https://home.unicruz.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4701966D7', 'Informações de coordenação obtidas: | Coordenador(a): José Luiz Tragnago | Email: agronomia@unicruz.edu.br | Telefone: (55)3321-1631
Currículo encontrado ; Universidade de Passo Fundo (UPF) ; Telefone : (54) 3316-8100 | Site : http://upf.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4785367Y1', 'Informações de coordenação obtidas: | Coordenador(a): Vilson Antonio Klein | Email: vaklein@upf.br | Telefone: (54) 3316-8151
Currículo encontrado ; Universidade Federal de Pelotas (UFPEL) ; Telefone : (53) 3284-3800 | Site : http://portal.ufpel.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4782933J5', 'Informações de coordenação obtidas: | Coordenador(a): Paulo Roberto Grolli | Email: prgrolli@ufpel.edu.br | 
Currículo encontrado ; Universidade Federal de Santa Maria (UFSM) ; Telefone : (55) 3220-8000 | Site : http://www.ufsm.br/ct ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4249683J7', 'Informações de coordenação obtidas:  | Coordenador(a): Jose Domingos Jacques Leao | Email: agronomia@gmail.com
Currículo encontrado ; Universidade Federal do Rio Grande do Sul (UFRGS) ; Telefone : (51) 3308-6000 | Site : http://www.ufrgs.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4785435U6', 'Informações de coordenação obtidas: | Coordenador(a): Sergio Francisco Schwarz | Email: schwarz@ufrgs.br  /  cgradagr@ufrgs.br | Telefone: (51) 3308-6018  /  ramal: 7441
Currículo encontrado ; Universidade Luterana do Brasil (ULBRA) ; Telefone : (51) 3477-4000 | Site : http://www.ulbra.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4771779Y0', 'Informações de coordenação obtidas: | Coordenador(a): Elisabete Gabrielli | Email: ulbra@ulbra.br
Currículo encontrado ; Universidade Regional Integrada do Alto Uruguai e Das Missões (URI) ; Telefone : (54) 3520-9000 | Site : http://www.uricer.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4723398P5', 'Informações de coordenação obtidas: | Coordenador(a): Amito José Teixeira | Email: agronomia@uricer.edu.br | Telefone: (54) 3520-9000
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia Farroupilha (IFFarroupilha) ; Telefone : (55) 3218-9800 | Site : http://www.iffarroupilha.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4282101P3', 'Informações de coordenação obtidas: | Coordenador(a): Emanuele Junges | Email: emanuele.junges@iffarroupilha.edu.br
Currículo encontrado ; Universidade Federal de Sergipe (UFS) ; Telefone : (79) 3194-6600 | Site : http://www.ufs.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4744106U9', 'Coordenador: Paulo Roberto Gagliardi | Email: prgagli@ufs.br | Telefone: (79) 2105-6929
Currículo encontrado ; Faculdade Católica do Tocantins (FACTO) ; Telefone : (63) 3221-2100 | Site : http://www.catolica-to.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4711659E6', 'Contatos | COORDENADOR(A) DO CURSO: Thadeu Teixeira Junior  | Email: thadeu.junior@p.catolica-to.edu.br
Currículo encontrado ; Universidade do Tocantins (UNITINS) ; Telefone : (63) 3218-2940 | Site : http://www.unitins.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4700168U5', 'COORDENAÇÃO DE CURSO | Arison José Pereira  | Contato: (63) 3218-4926 | E-mail: arison.jp@unitins.br
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Tocantins (IFTO) ; Telefone : (63) 3236-4000 | Site : http://www.ifto.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4769489D6', 'Diretor-geral: Décio Dias dos Reis | E-mail: araguatins@ifto.edu.br | Telefone: (63) 3474-4800 // (63) 3474-4804 | Coordenador(a): Wyratan da Silva Santos | E-mail: agronomia.araguatins@ifto.edu.br | Telefone: (63) 3474 - 4846
